CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
121,Nicaragua,Nicaragua,Americas,107,21,57.7,33.4,18.7,20.3,76.9,79.1,93.9,56.0,55.8,72.7,76.0,60,50,2.0,30.0,30.0,22.6,26.4,Nicaragua,6.2,$36.4 ,4.9,4.8,"$5,849",4.4,3.9,896.6,33.6
122,Niger,Niger,Sub-Saharan Africa,151,31,51.6,37.2,31.0,34.1,76.9,75.6,22.2,56.3,48.2,76.7,65.8,55,40,9.6,35.0,30.0,13.5,28.5,Niger,18.8,$21.8 ,5.2,5.4,"$1,164",0.4,2.4,334.3,46.5
123,Nigeria,Nigeria,Sub-Saharan Africa,111,14,57.3,36.5,34.3,20.5,85.0,96.5,68.2,51.2,83.3,65.0,62.4,45,40,11.3,24.0,30.0,5.2,10.8,Nigeria,188.7,"$1,118.8 ",0.8,2.7,"$5,929",7.0,16.5,"3,503.0",23.4
124,Norway,Norway,Europe,26,15,73.0,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75,60,3.4,47.8,23.0,38.0,49.9,Norway,5.3,$380.0 ,1.8,1.6,"$71,831",4.2,1.9,"-8,296.9",36.7
125,Oman,Oman,Middle East and North Africa,88,7,61.0,58.1,51.6,53.8,97.8,32.5,16.1,75.2,57.3,77.7,87.0,65,60,1.5,0.0,12.0,8.5,47.4,Oman,4.1,$186.6 ,-0.3,2.7,"$45,157",3.3,1.6,"1,867.4",44.2
126,Pakistan,Pakistan,Asia-Pacific,131,32,55.0,41.5,40.2,30.6,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55,40,10.1,30.0,30.0,12.4,20.3,Pakistan,197.3,"$1,057.0 ",5.3,4.3,"$5,358",4.0,4.1,"2,806.0",67.2
127,Panama,Panama,Americas,50,9,67.2,60.4,30.1,34.1,85.0,85.3,91.3,73.6,43.4,79.4,79.2,75,70,5.4,25.0,25.0,15.8,22.2,Panama,4.1,$103.9 ,5.4,5.8,"$25,351",4.5,0.9,"5,319.2",38.2
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,101,21,58.4,37.4,49.0,37.2,71.8,89.1,75.2,62.2,72.6,70.0,80.9,25,30,2.0,42.0,30.0,12.5,19.1,Papua New Guinea,8.3,$30.3 ,2.5,5.8,"$3,675",2.7,5.2,-200.5,32.6
129,Paraguay,Paraguay,Americas,85,18,61.8,39.5,30.0,25.5,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75,60,4.2,10.0,10.0,13.0,26.5,Paraguay,7.0,$68.3 ,4.3,6.0,"$9,826",4.6,3.6,355.8,25.6
130,Peru,Peru,Americas,45,7,67.8,56.1,34.0,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75,60,1.8,30.0,28.0,16.0,21.5,Peru,31.8,$424.4 ,2.5,3.6,"$13,334",3.6,2.8,"6,769.5",25.5
131,Philippines,Philippines,Asia-Pacific,70,15,63.8,48.7,36.4,30.9,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60,60,3.4,35.0,30.0,13.7,19.4,Philippines,105.3,$875.6 ,6.7,6.6,"$8,315",2.4,3.2,"9,524.3",37.8
132,Poland,Poland,Europe,46,23,67.8,62.3,44.0,49.8,74.9,48.8,86.4,65.4,63.9,82.1,86.0,80,70,2.0,32.0,19.0,33.6,41.3,Poland,38.0,"$1,121.0 ",4.6,3.2,"$29,521",4.9,2.0,"6,433.5",51.4
133,Portugal,Portugal,Europe,62,30,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83.0,86.0,70,60,2.0,48.0,23.0,34.4,46.3,Portugal,10.3,$313.4 ,2.7,1.2,"$30,417",8.9,1.6,"6,945.6",125.6
134,Qatar,Qatar,Middle East and North Africa,28,3,72.6,64.5,60.0,77.4,99.7,56.8,94.0,71.2,65.9,78.4,83.2,60,60,3.4,0.0,0.0,5.7,37.9,Qatar,2.7,$340.6 ,2.1,3.3,"$124,529",0.1,0.4,986.0,54.0
135,Romania,Romania,Europe,42,21,68.6,66.7,51.9,39.8,89.7,69.0,89.3,63.1,64.5,82.7,86.0,70,50,2.0,10.0,16.0,26.0,32.1,Romania,19.6,$481.5 ,7.0,4.5,"$24,508",4.9,1.3,"5,160.0",36.9
136,Russia,Russia,Europe,98,41,58.9,52.4,45.1,36.6,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30,30,3.6,13.0,20.0,22.2,35.4,Russia,144.0,"$4,007.8 ",1.5,0.3,"$27,834",5.2,3.7,"25,284.0",17.4
137,Rwanda,Rwanda,Sub-Saharan Africa,32,2,71.1,72.2,83.2,67.9,79.8,79.4,86.3,56.2,82.2,76.1,70.4,60,40,7.3,30.0,30.0,15.0,26.2,Rwanda,11.8,$24.6 ,6.1,6.7,"$2,080",1.3,4.8,366.2,40.6
138,Saint Lucia,SaintLucia,Americas,38,4,68.7,65.9,63.8,50.3,76.2,79.3,81.3,76.3,69.2,83.9,73.2,65,40,5.9,30.0,30.0,24.0,26.3,Saint Lucia,0.2,$2.5 ,3.0,1.9,"$14,450",21.0,0.1,92.4,71.3
139,Saint Vincent and the Grenadines,SaintVincentGrenadines,Americas,55,10,65.8,36.5,63.8,50.5,71.2,74.3,85.0,76.5,73.5,82.2,66.6,70,40,9.2,32.5,33.0,27.1,29.3,Saint Vincent and the Grenadines,0.1,$1.3 ,1.0,1.1,"$11,491",18.3,2.0,87.1,80.8
140,Samoa,Samoa,Asia-Pacific,82,19,62.2,53.8,31.0,37.7,79.9,62.3,93.6,77.0,78.2,83.5,63.8,55,30,10.6,27.0,27.0,23.6,35.5,Samoa,0.2,$1.1 ,2.4,2.1,"$5,740",8.2,1.3,9.0,49.1
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,134,24,54.0,37.4,26.6,35.5,87.2,67.0,62.3,65.1,42.7,70.5,64.2,60,30,10.4,20.0,25.0,15.9,33.2,São Tomé and Príncipe,0.2,$0.7 ,4.0,4.1,"$3,180",13.5,5.5,41.0,83.3
142,Saudi Arabia,SaudiArabia,Middle East and North Africa,91,9,60.7,55.0,62.7,49.8,99.8,57.5,19.4,72.3,63.3,78.1,76.0,45,50,4.5,2.5,2.5,3.4,37.6,Saudi Arabia,32.4,"$1,773.6 ",-0.7,2.3,"$54,777",5.5,-0.9,"1,421.0",17.3
143,Senegal,Senegal,Sub-Saharan Africa,117,16,56.3,47.8,40.4,40.3,70.8,73.3,60.0,53.3,39.4,78.2,72.0,60,40,9.0,40.0,30.0,20.4,29.8,Senegal,15.9,$43.2 ,7.2,5.6,"$2,727",4.9,1.4,532.3,61.2
144,Serbia,Serbia,Europe,69,34,63.9,50.1,44.8,37.2,82.0,45.1,90.1,72.9,67.4,80.0,77.0,70,50,6.5,10.0,15.0,38.4,42.8,Serbia,7.0,$105.5 ,1.8,1.2,"$15,000",14.1,3.1,"2,866.7",61.5
145,Seychelles,Seychelles,Sub-Saharan Africa,87,6,61.4,58.2,37.5,39.2,76.3,60.3,92.0,63.3,63.2,80.0,81.4,55,30,4.3,15.0,33.0,32.6,36.4,Seychelles,0.1,$2.7 ,4.2,4.9,"$28,779",N/A,2.9,191.9,63.3
146,Sierra Leone,SierraLeone,Sub-Saharan Africa,167,42,47.5,35.5,34.5,26.2,87.3,84.4,13.2,44.9,29.3,65.0,69.4,60,20,10.3,15.0,30.0,12.2,22.8,Sierra Leone,7.4,$11.5 ,3.5,2.9,"$1,553",4.5,18.0,560.0,58.4
147,Singapore,Singapore,Asia-Pacific,2,2,89.4,97.4,92.4,95.1,90.4,90.7,80.0,90.8,91.0,85.3,94.8,85,80,0.1,22.0,17.0,13.7,17.6,Singapore,5.6,$527.0 ,3.6,3.5,"$93,906",2.0,0.6,"62,006.0",110.9
148,Slovakia,Slovakia,Europe,65,32,65.0,68.5,37.2,37.7,78.6,46.1,87.2,61.3,53.4,78.6,86.0,75,70,2.0,25.0,21.0,32.7,42.4,Slovak Republic,5.4,$179.4 ,3.4,3.0,"$33,025",8.1,1.3,"2,276.7",50.4
149,Slovenia,Slovenia,Europe,58,29,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86.0,70,50,2.0,50.0,17.0,37.0,45.4,Slovenia,2.1,$71.1 ,5.0,2.5,"$34,407",6.6,1.4,702.0,75.4
150,Solomon Islands,SolomonIslands,Asia-Pacific,133,33,54.6,49.9,51.7,33.5,65.5,36.5,89.4,68.6,72.0,86.0,56.8,15,30,14.1,40.0,30.0,30.8,46.0,Solomon Islands,0.6,$1.3 ,3.2,2.9,"$2,157",2.1,-0.4,36.5,10.0
184,Somalia,Somalia,Sub-Saharan Africa,N/A,N/A,N/A,33.7,26.6,7.9,N/A,N/A,N/A,31.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Somalia,14.3,$18.70 ,1.8,2.2,N/A,6.0,N/A,384.0,N/A
151,South Africa,SouthAfrica,Sub-Saharan Africa,102,11,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76.0,45,50,4.5,45.0,28.0,31.3,32.8,South Africa,56.5,$765.6 ,1.3,1.5,"$13,545",27.3,5.3,"1,324.7",52.7
152,Spain,Spain,Europe,57,28,65.7,72.9,51.4,51.9,62.3,46.2,51.1,66.8,57.8,87.5,86.0,85,70,2.0,45.0,25.0,33.5,42.3,Spain,46.3,"$1,773.9 ",3.1,1.9,"$38,286",17.2,2.0,"19,086.1",98.4
153,Sri Lanka,SriLanka,Asia-Pacific,115,25,56.4,44.7,39.4,28.9,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40,40,4.4,24.0,28.0,12.3,19.8,Sri Lanka,21.4,$274.7 ,3.1,4.2,"$12,811",4.1,6.5,"1,374.9",79.4
154,Sudan,Sudan,Sub-Saharan Africa,166,41,47.7,27.5,22.2,26.2,86.3,96.6,76.1,52.1,59.0,56.9,45.0,5,20,17.5,10.0,35.0,6.7,10.6,Sudan,40.8,$187.0 ,3.2,3.0,"$4,586",12.7,32.4,"1,065.3",126.0
155,Suriname,Suriname,Americas,165,28,48.1,49.1,22.2,35.5,70.9,77.2,9.6,48.3,73.5,56.0,64.6,40,30,10.2,38.0,36.0,13.2,27.6,Suriname,0.6,$8.5 ,0.0,-0.9,"$14,606",8.1,22.0,-87.3,72.1
157,Sweden,Sweden,Europe,19,10,75.2,89.5,84.0,88.0,43.2,26.7,96.6,88.0,53.9,82.0,86.0,85,80,2.0,57.0,22.0,44.1,49.4,Sweden,10.1,$520.9 ,2.4,2.8,"$51,475",6.7,1.9,"15,395.7",40.9
158,Switzerland,Switzerland,Europe,4,1,81.9,85.3,82.0,88.0,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85,90,1.3,40.0,24.0,27.8,34.3,Switzerland,8.4,$517.2 ,1.1,1.6,"$61,422",4.8,0.5,"40,986.1",42.8
159,Syria,Syria,Middle East and North Africa,N/A,N/A,N/A,37.0,24.4,20.3,N/A,N/A,N/A,49.6,58.2,48.3,47.0,0,N/A,16.5,22.0,28.0,N/A,N/A,Syria,18.4,N/A,N/A,N/A,N/A,14.9,N/A,N/A,N/A
160,Taiwan ,Taiwan,Asia-Pacific,10,5,77.3,85.4,70.1,69.2,75.0,90.6,91.6,93.2,60.9,84.4,87.0,60,60,1.5,45.0,20.0,8.9,17.7,Taiwan ,23.6,"$1,185.5 ",2.8,2.2,"$50,294",3.8,0.6,"3,255.0",35.2
161,Tajikistan,Tajikistan,Asia-Pacific,122,28,55.6,47.8,52.1,36.4,91.8,64.6,60.3,67.3,49.2,68.5,73.6,25,30,5.7,13.0,15.0,20.6,34.3,Tajikistan,8.8,$28.4 ,7.1,6.8,"$3,212",10.3,7.3,141.3,47.8
162,Tanzania,Tanzania,Sub-Saharan Africa,94,7,60.2,35.4,41.4,33.2,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55,50,8.6,30.0,30.0,12.4,18.0,Tanzania,50.0,$162.2 ,6.0,6.8,"$3,240",2.2,5.3,"1,180.4",38.2
163,Thailand,Thailand,Asia-Pacific,43,10,68.3,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83.0,55,60,3.5,35.0,20.0,15.6,21.8,Thailand,69.1,"$1,233.7 ",3.9,2.8,"$17,856",1.1,0.7,"7,635.2",41.9
164,Timor-Leste,TimorLeste,Asia-Pacific,172,42,44.2,29.7,13.1,32.1,96.3,0.9,20.0,60.5,58.8,79.5,75.0,45,20,2.5,10.0,10.0,13.1,57.5,Timor-Leste,1.2,$6.8 ,-0.5,3.1,"$5,444",3.4,0.6,6.7,0.0
165,Togo,Togo,Sub-Saharan Africa,158,35,50.3,35.5,29.6,28.1,67.8,77.0,24.5,50.4,46.7,79.1,69.4,65,30,10.3,45.0,27.0,21.5,27.7,Togo,7.8,$12.9 ,4.4,5.5,"$1,659",1.8,-0.7,145.6,78.6
166,Tonga,Tonga,Asia-Pacific,108,23,57.7,59.2,26.6,38.1,85.5,40.9,93.4,75.3,69.9,69.4,73.6,40,20,5.7,20.0,25.0,20.7,44.4,Tonga,0.1,$0.6 ,3.1,2.4,"$5,608",1.1,8.0,13.8,48.0
167,Trinidad and Tobago,TrinidadTobago,Americas,112,22,57.0,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50,8.3,25.0,25.0,22.8,35.7,Trinidad and Tobago,1.4,$43.0 ,-2.6,-1.3,"$31,367",4.8,1.9,178.7,41.3
168,Tunisia,Tunisia,Middle East and North Africa,125,10,55.4,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76.0,71.4,45,30,9.3,35.0,30.0,20.8,29.2,Tunisia,11.5,$135.4 ,1.9,1.7,"$11,755",15.4,5.3,879.5,71.3
169,Turkey,Turkey,Europe,68,33,64.6,55.8,49.8,41.2,76.4,65.1,92.2,66.0,49.2,70.0,79.6,70,60,2.7,35.0,22.0,25.5,34.1,Turkey,80.8,"$2,173.2 ",7.0,6.0,"$26,893",11.3,11.1,"10,864.0",28.5
170,Turkmenistan,Turkmenistan,Asia-Pacific,164,40,48.4,31.6,29.8,20.3,95.9,92.0,92.3,30.0,20.0,73.4,76.0,10,10,2.0,10.0,8.0,15.6,16.4,Turkmenistan,5.7,$103.5 ,6.5,7.9,"$18,126",3.4,8.0,"2,313.5",28.8
171,Uganda,Uganda,Sub-Saharan Africa,95,8,59.7,42.2,38.5,25.4,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55,40,7.3,40.0,30.0,12.9,19.4,Uganda,37.7,$88.7 ,4.5,4.3,"$2,354",2.1,5.6,699.7,39.0
172,Ukraine,Ukraine,Europe,147,44,52.3,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75.0,35,30,2.5,20.0,18.0,33.1,42.1,Ukraine,42.3,$368.8 ,2.5,-2.3,"$8,713",9.5,14.4,"2,202.0",75.6
173,United Arab Emirates,UnitedArabEmirates,Middle East and North Africa,9,1,77.6,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40,60,2.8,0.0,0.0,8.9,32.3,United Arab Emirates,10.1,$686.8 ,0.5,3.3,"$67,741",1.7,2.0,"10,354.2",19.5
174,United Kingdom,UnitedKingdom,Europe,7,3,78.9,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86.0,90,80,2.0,45.0,20.0,33.2,41.6,United Kingdom,66.1,"$2,914.0 ",1.8,2.2,"$44,118",4.3,2.7,"15,090.0",87.0
175,United States,UnitedStates,Americas,12,2,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80,1.7,37.0,21.0,26.0,37.8,United States,325.9,"$19,390.6 ",2.3,2.2,"$59,501",4.4,2.1,"275,381.0",107.8
176,Uruguay,Uruguay,Americas,40,6,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85,30,5.7,30.0,25.0,27.4,32.9,Uruguay,3.5,$78.1 ,3.1,2.6,"$22,371",7.9,6.2,-124.6,66.2
177,Uzbekistan,Uzbekistan,Asia-Pacific,140,36,53.3,49.8,34.3,25.2,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10,10,8.7,22.0,7.5,18.2,33.0,Uzbekistan,32.1,$222.6 ,5.3,7.4,"$6,929",7.2,12.5,95.8,24.5
178,Vanuatu,Vanuatu,Asia-Pacific,116,26,56.4,65.9,36.4,51.9,97.3,54.1,15.3,52.4,58.8,75.0,64.4,65,40,7.8,0.0,0.0,16.3,39.1,Vanuatu,0.3,$0.8 ,4.2,2.4,"$2,739",5.2,3.1,24.7,48.4
179,Venezuela,Venezuela,Americas,179,32,25.9,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28.0,0.0,60.0,0,10,10.0,34.0,34.0,14.9,37.4,Venezuela,31.4,$380.7 ,-14.0,-7.8,"$12,114",7.7,1087.5,-68.0,34.9
180,Vietnam,Vietnam,Asia-Pacific,128,30,55.3,49.8,40.3,34.0,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30,40,2.9,35.0,22.0,18.0,29.4,Vietnam,93.6,$647.4 ,6.8,6.2,"$6,913",2.1,3.5,"14,100.0",58.2
181,Yemen,Yemen,Middle East and North Africa,N/A,N/A,N/A,19.6,22.2,20.3,N/A,83.7,0.0,45.1,49.8,61.5,71.4,50,N/A,4.3,N/A,N/A,N/A,N/A,Yemen,30.0,$38.6 ,-13.8,-16.1,"$1,287",14.0,4.9,-269.9,141.0
182,Zambia,Zambia,Sub-Saharan Africa,138,27,53.6,45.0,35.6,32.3,72.3,80.1,12.3,71.1,46.0,70.3,72.6,55,50,6.2,35.0,35.0,17.9,25.8,Zambia,17.2,$68.9 ,3.6,4.0,"$3,996",7.8,6.6,"1,091.2",62.2
183,Zimbabwe,Zimbabwe,Sub-Saharan Africa,175,45,40.4,29.7,24.8,15.8,62.3,74.5,23.7,33.4,43.3,72.4,70.0,25,10,5.0,51.5,25.0,22.3,29.2,Zimbabwe,14.9,$34.0 ,3.0,2.6,"$2,283",5.0,1.3,289.4,78.4
